t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.314,-0.00,-0.00,0.02
0.000,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.314,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.016,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.01,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,-0.00,0.02
0.031,takeoff,1,326,180,0.41,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,-0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,-0.00,0.02
